NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION
"bastion-server","Virtual machine","nf-nomad-dev-rg","West Europe",""
"bastion-server-osdisk","Disk","NF-NOMAD-DEV-RG","West Europe",""
"bastion.20240320111435","Image","nf-nomad-dev-rg","West Europe",""
"bastion.20240529125052","Image","nf-nomad-dev-rg","West Europe",""
"bastion.20240603130052","Image","nf-nomad-dev-rg","West Europe",""
"hashistack-client-0","Virtual machine","nf-nomad-dev-rg","West Europe",""
"hashistack-client-1","Virtual machine","nf-nomad-dev-rg","West Europe",""
"hashistack-client-2","Virtual machine","nf-nomad-dev-rg","West Europe",""
"hashistack-client-osdisk-0","Disk","NF-NOMAD-DEV-RG","West Europe",""
"hashistack-client-osdisk-1","Disk","NF-NOMAD-DEV-RG","West Europe",""
"hashistack-client-osdisk-2","Disk","NF-NOMAD-DEV-RG","West Europe",""
"hashistack-server-0","Virtual machine","nf-nomad-dev-rg","West Europe",""
"hashistack-server-1","Virtual machine","nf-nomad-dev-rg","West Europe",""
"hashistack-server-2","Virtual machine","nf-nomad-dev-rg","West Europe",""
"hashistack-server-osdisk-0","Disk","NF-NOMAD-DEV-RG","West Europe",""
"hashistack-server-osdisk-1","Disk","NF-NOMAD-DEV-RG","West Europe",""
"hashistack-server-osdisk-2","Disk","NF-NOMAD-DEV-RG","West Europe",""
"hashistack.20240320121559","Image","nf-nomad-dev-rg","West Europe",""
"hashistack.20240320122410","Image","nf-nomad-dev-rg","West Europe",""
"hashistack.20240320141508","Image","nf-nomad-dev-rg","West Europe",""
"hashistack.20240320150510","Image","nf-nomad-dev-rg","West Europe",""
"hashistack.20240320152709","Image","nf-nomad-dev-rg","West Europe",""
"hashistack.20240320161553","Image","nf-nomad-dev-rg","West Europe",""
"hashistack.20240320163511","Image","nf-nomad-dev-rg","West Europe",""
"hashistack.20240322140155","Image","nf-nomad-dev-rg","West Europe",""
"hashistack.20240322151338","Image","nf-nomad-dev-rg","West Europe",""
"hashistack.20240325143604","Image","nf-nomad-dev-rg","West Europe",""
"hashistack.20240326122214","Image","nf-nomad-dev-rg","West Europe",""
"hashistack.20240603131113","Image","nf-nomad-dev-rg","West Europe",""
"hashistack.20240607112210","Image","nf-nomad-dev-rg","West Europe",""
"hashistack.20241106143509","Image","nf-nomad-dev-rg","West Europe",""
"hashistack.20241106160129","Image","nf-nomad-dev-rg","West Europe",""
"igenomes-data-sync","Virtual machine","igenomes-data-sync_group","West Europe",""
"igenomes-data-sync_key","SSH key","igenomes-data-sync_group","West Europe",""
"igenomes-data-sync_OsDisk_1_6805966503c542b78dbe9ad597d363d0","Disk","IGENOMES-DATA-SYNC_GROUP","West Europe",""
"nfcoreazuremegatests","Batch account","nf-core-azure-megatests","West Europe",""
"nfcoreazuremegatests","Container registry","nf-core-azure-megatests","West Europe",""
"nfcoreazuremegatests","Storage account","nf-core-azure-megatests","West Europe",""
"nfnomad","Storage account","nf-nomad-dev-rg","West Europe",""
